inTp,inHd,otmsuplyqy,acSlrdQy,cunt,ph,outTp,outWs,daysuplyqy,inCo2,ec,frtstGrupp,lefstalklt,frtstSetCo,pllnLt,flanGrupp,frtstCo,flanJnt,tcdmt,frmhsFclu,hvstGrupp,hvstJnt,grwtLt,fcluHg,lefLt,flwrCo,hvstCo,lefCunt,frtstJnt,lefBt,stemThck,frmAr,frmDov,outtrn_cumsum,WaterUsage,WaterCost,FertilizerUsage,FertilizerCost,CO2Usage,CO2Cost,MistUsageTime,Mist Cost,HeatingEnergyUsage_cumsum,frmDist,frmWeek,date,frmDov*frmAr
20.91080052461894,98.7549417412197,102.96721613311541,0.0,16.311494593859397,6.459322611345681,12.829459176308662,0.0,0.0,532.4936904351032,3.1076316286723342,7.442713947732308,0.0,0.0,0.0,8.356562329728817,19.5404744523402,0.0,0.0,9.347145755801495,1.713416769370978,0.0,23.174644158235278,31.158242503161464,55.96313558922522,0.0,0.0,15.242420780618913,0.0,54.48599659176724,14.001205811543949,900.0,8.5,20317.0956098346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DBSF1186,38.0,2017-09-24,7650.0
20.46541860861033,92.47550877042816,122.4973908665124,1473.399477226271,9.616868316062176,5.758575207519056,5.439257600500329,0.0,0.0,582.8939830584176,3.1377466670508234,5.2003956185673434,0.0,0.0,0.0,5.941052534373438,15.168955476991774,0.0,0.0,6.518177258341913,0.6004557902708844,0.0,24.007256612484763,31.681859371653136,55.66918847906944,0.0,0.0,11.708965372985851,0.0,57.516185708089594,14.614955688261329,900.0,7.6,9098.948972425143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DBSF1205,47.0,2018-11-25,6840.0
20.10737654533708,92.17281352458932,120.15804637744344,1464.4766046325335,9.964882095585017,5.720886199728354,5.670054137419985,0.0,0.0,603.2214059985513,3.240532416926711,5.513201357051263,0.0,0.0,0.0,5.98536736831278,15.158058132865715,0.0,0.0,6.427268188125746,0.5920413319639408,0.0,24.451692047222842,30.558141037516332,57.544614756355124,0.0,0.0,11.919908247567093,0.0,57.864739475175135,14.72760306516728,900.0,7.6,9534.155554301164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DBSF1218,47.0,2018-11-25,6840.0
20.03149151631335,92.11934704759595,121.85417331117687,1432.7379438936314,10.164845619594942,5.741497103197812,5.362728033456538,0.0,0.0,593.0702429356102,3.1875433831239612,5.282904193941517,0.0,0.0,0.0,5.8118497088084204,15.357508174908283,0.0,0.0,6.505369441306254,0.5922401002263393,0.0,23.404644847274657,30.72186081236932,56.69906609917351,0.0,0.0,11.545652236061043,0.0,55.97168364017851,14.710665264155137,900.0,7.6,9813.284463798294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DBSF1232,47.0,2018-11-25,6840.0
21.98405551851497,100.83204369362237,163.95709445107678,1525.8246688838547,13.221379935814584,6.28312946586697,13.317296946622536,1.9953911071452848,0.0,611.4849978454583,3.2910664968499166,7.430406651218761,0.0,0.0,0.0,7.965765765636478,17.636003141261003,0.0,0.0,8.59616882027183,1.9946881910233198,0.0,22.930705074122812,32.482107961381196,59.59141417876818,0.0,0.0,14.326796974484783,0.0,54.3441585072551,14.358866248697915,800.0,8.4,20771.7299716466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DBSF1466,37.0,2018-09-16,6720.0
20.333979889896533,97.95495428992169,97.27913924919498,0.0,15.51582265962977,6.435967072020476,12.827159594917536,0.0,0.0,531.2951254433997,3.1333043301900294,7.7680456544238075,0.0,0.0,0.0,8.492818911422496,19.393963576967867,0.0,0.0,9.1850245753488,1.7419557523199152,0.0,23.174472237222417,31.837691158575854,53.82286530200341,0.0,0.0,15.627932879614688,0.0,52.36846159273357,13.077623540186993,900.0,8.5,20449.4856381503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DBSF1490,38.0,2017-09-24,7650.0
19.54092137309182,98.64448916848167,96.02329663547529,1252.1508344857323,10.365201667422038,6.389936314258409,5.149988011714306,2.231322575677295,0.0,708.8904957404908,3.4163221285343153,11.20840256222612,0.0,0.0,0.0,11.741503948619131,22.06261128246137,0.0,0.0,12.98017536595586,4.608998355077865,0.0,16.813832375294112,31.675748070515784,0.0,0.0,0.0,15.318561564459024,0.0,0.0,13.835017990009664,800.0,9.4,24510.615542393945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DBSF1554,44.0,2017-11-05,7520.0
20.016353564831004,94.80823125674908,120.03717743840062,1474.4893330627597,9.75154941269689,5.8143678227314535,5.6709625847917335,0.0,0.0,585.3208424657063,3.246365013698506,5.270601534285843,0.0,0.0,0.0,5.978931481874601,15.25855204488438,0.0,0.0,6.473307902774576,0.6397197058853676,0.0,23.97781077280227,31.712037775989018,55.47566185738493,0.0,0.0,11.533075231890654,0.0,56.892004444328236,14.484785707152875,900.0,7.6,9215.098245099693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DBSF1644,47.0,2018-11-25,6840.0
20.77141277202948,99.06025822389876,100.4546609831339,0.0,15.644677480483434,6.544686640837084,12.200557269581177,0.0,0.0,542.8618597160304,3.0908690745177614,7.6247294395457885,0.0,0.0,0.0,8.313543728016997,19.663671252756306,0.0,0.0,9.278724706556213,1.7190125725778629,0.0,23.287640778117673,31.077249624457558,53.96249702908288,0.0,0.0,15.475079613687555,0.0,52.729697042198254,13.85841393099917,900.0,8.5,19522.51460897297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DBSF1645,38.0,2017-09-24,7650.0
22.375574484495946,99.43506922453255,0.0,1775.308523101614,0.0,0.0,14.511954798398406,0.0,0.0,566.8940110285774,0.0,12.767615928123638,0.0,0.0,0.0,13.35595256397432,21.52332710136298,0.0,0.0,14.603535840383035,4.676340296788884,0.0,23.37364169612812,21.70448538897937,51.244420668664475,0.0,0.0,18.675081812626765,0.0,44.858859075771925,12.349728630134955,1300.0,8.8,26999.592732726356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DBSF1673,35.0,2017-09-03,11440.000000000002
