frmDist,frmYearWeek,date,inTp,inHd,otmsuplyqy,acSlrdQy,cunt,ph,outTp,outWs,daysuplyqy,inCo2,ec,frmYear,frmWeek,frtstGrupp,lefstalklt,frtstSetCo,pllnLt,flanGrupp,frtstCo,flanJnt,tcdmt,frmhsFclu,hvstGrupp,hvstJnt,grwtLt,fcluHg,lefLt,flwrCo,hvstCo,lefCunt,frtstJnt,lefBt,stemThck,frmAr,frmDov,outtrn_cumsum,WaterUsage,WaterCost,FertilizerUsage,FertilizerCost,CO2Usage,CO2Cost,MistUsageTime,Mist Cost,HeatingEnergyUsage_cumsum
DBSF1186,2017-35,2017-09-03,28.05587674201572,75.41195346246191,71.57231998377915,0.0,24.941651324770863,6.711243769290305,23.751200223375285,0.0,0.0,375.7138299361427,3.1460458615376847,2017,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBSF1186,2017-36,2017-09-10,27.125157293906128,92.89484609472612,71.11866837254342,0.0,14.755254320569554,6.601881530903577,26.68139140434001,0.0,0.0,373.8980470872591,3.4295021657799083,2017,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBSF1186,2017-37,2017-09-17,27.34331232782849,83.83699420625209,81.4317675898111,0.0,28.08825368013072,6.580945207789115,25.563966937462624,0.0,0.0,399.576790227148,3.338737573950741,2017,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBSF1186,2017-38,2017-09-24,26.5297582822165,103.59415716350848,83.63738737441668,0.0,26.357264903143736,6.516620254810292,24.47282902006156,0.0,0.0,394.6487067264853,3.193510059508216,2017,38,1.8995662670958748,0.0,0.0,0.0,2.237948762459396,6.399455559602897,0.0,0.0,2.945643111450226,0.0,0.0,0.0,25.791910865651808,39.32354786984106,0.0,0.0,9.98119019443178,0.0,44.45164135774576,14.958348572907962,900,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBSF1186,2017-39,2017-10-01,26.47713163357357,102.89871969969867,88.349316869652,0.0,29.79844328404356,6.634493853614575,26.369129149775866,0.0,0.0,380.0819747649937,3.0664860616728133,2017,39,2.554465576039863,0.0,0.0,0.0,3.4130028316113017,10.00356640728238,0.0,0.0,3.990769678631255,0.0,0.0,27.11969553159077,32.37238238424898,61.09140702496958,0.0,0.0,13.245601395822394,0.0,62.83568849771559,19.54902978838477,900,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBSF1186,2017-40,2017-10-08,21.91948252923504,102.83288821939188,82.73136760836857,0.0,24.83972099602808,6.688384853161089,23.872410335786928,0.0,0.0,401.6882226281037,3.205732213876061,2017,40,3.503032538253778,0.0,0.0,0.0,5.403423091528301,12.660799086993162,0.0,0.0,5.31186106978721,0.0,0.0,29.82256094932915,28.985290301777383,63.49412500083729,0.0,0.0,15.675023827382809,0.0,54.12122899773817,14.778167111705011,900,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBSF1186,2017-41,2017-10-15,25.96350543231692,104.823439359406,82.81898059961777,0.0,22.52125763386459,6.651503998624912,21.49502281037621,0.0,0.0,451.9373802528143,3.186802960853359,2017,41,4.549561588625449,0.0,0.0,0.0,5.012485638190736,14.464260868310529,0.0,0.0,6.008564724291659,0.0,0.0,29.7456496508228,23.90542802991746,59.13130293342447,0.0,0.0,16.790872193796705,0.0,60.86950863471009,17.550488743069614,900,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBSF1186,2017-42,2017-10-22,21.98281568840505,93.20017906017289,75.34868733117383,0.0,22.73853637435274,6.390105261416338,20.29835101117476,0.0,0.0,488.9181411919212,3.1275958114794915,2017,42,6.05861705204502,0.0,0.0,0.0,6.504832970891666,18.89926772867956,0.0,0.0,6.76688241741119,0.0,0.0,31.708901463979995,38.62039804449914,60.46860164061272,0.0,0.0,15.679272158981805,0.0,62.36187587903868,15.53696937253278,900,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBSF1186,2017-43,2017-10-29,21.81751863509203,86.87469195058527,71.0991597662107,0.0,22.51420148413675,6.513687305153409,16.469668377182515,0.0,0.0,517.0709966591065,3.074800277559881,2017,43,5.793907054037582,0.0,0.0,0.0,6.9086411370498535,23.42032815002909,0.0,0.0,7.65235426615903,0.0,0.0,23.96056831289216,27.611595026334545,58.957376174842,0.0,0.0,13.037628633556142,0.0,65.06303913182711,14.497095413035243,900,8.5,1076.3449604190116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBSF1186,2017-44,2017-11-05,20.55304051835362,105.69822362047697,83.20003197401586,0.0,19.70647201454235,6.516935881796691,15.72966172088284,0.0,0.0,550.7493000284832,2.807548374702552,2017,44,7.293850574339421,0.0,0.0,0.0,7.127395437298837,25.049480719021552,0.0,0.0,9.420399562340483,0.3716596100597046,0.0,20.06514368226623,23.614299912979547,58.01140270064928,0.0,0.0,15.974468309716888,0.0,48.989164847171565,11.6611306120693,900,8.5,2387.9883490361176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
